gene_key	entrez_gene_id	go_terms	go_bp	go_mf	go_cc
948853	948853	GO:0005737;GO:0005829;GO:0006508;GO:0008233;GO:0008237;GO:0008270;GO:0008798;GO:0016787;GO:0016810;GO:0042802;GO:0046872	GO:0006508	GO:0008233;GO:0008237;GO:0008270;GO:0008798;GO:0016787;GO:0016810;GO:0042802;GO:0046872	GO:0005737;GO:0005829
948854	948854	GO:0005886			GO:0005886
948856	948856	GO:0005886			GO:0005886
948858	948858	GO:0000215;GO:0003950;GO:0006388;GO:0008033;GO:0016740;GO:0016772	GO:0006388;GO:0008033	GO:0000215;GO:0003950;GO:0016740;GO:0016772	
948859	948859	GO:0005886			GO:0005886
948957	948957	GO:0005886			GO:0005886
38094981	38094981				
948837	948837	GO:0046872;GO:0051536;GO:0051539		GO:0046872;GO:0051536;GO:0051539	
945789	945789	GO:0006974;GO:0016829	GO:0006974	GO:0016829	
948860	948860	GO:0005886			GO:0005886
948861	948861	GO:0005886;GO:0006811;GO:0006813;GO:0006814;GO:0015125;GO:0015297;GO:0015385;GO:0015386;GO:0015721;GO:0016020;GO:0022857;GO:0030641;GO:0036376;GO:0042908;GO:0046677;GO:0055085;GO:0097623;GO:0140115;GO:1902600;GO:1990961	GO:0006811;GO:0006813;GO:0006814;GO:0015721;GO:0030641;GO:0036376;GO:0042908;GO:0046677;GO:0055085;GO:0097623;GO:0140115;GO:1902600;GO:1990961	GO:0015125;GO:0015297;GO:0015385;GO:0015386;GO:0022857	GO:0005886;GO:0016020
71004581	71004581				
949089	949089	GO:0003677;GO:0003700;GO:0006355;GO:0008483;GO:0016740;GO:0030170;GO:1901605	GO:0006355;GO:1901605	GO:0003677;GO:0003700;GO:0008483;GO:0016740;GO:0030170	
948903	948903				
945056	945056				
948880	948880	GO:0005515;GO:0009307;GO:0032067;GO:1905348	GO:0009307	GO:0005515;GO:0032067	GO:1905348
949122	949122	GO:0000166;GO:0003677;GO:0003924;GO:0004518;GO:0004519;GO:0005515;GO:0005524;GO:0005525;GO:0009307;GO:0010385;GO:0016787;GO:0016887;GO:0042802;GO:0044729;GO:1905348	GO:0009307	GO:0000166;GO:0003677;GO:0003924;GO:0004518;GO:0004519;GO:0005515;GO:0005524;GO:0005525;GO:0010385;GO:0016787;GO:0016887;GO:0042802;GO:0044729	GO:1905348
949088	949088	GO:0003677;GO:0003723;GO:0004518;GO:0004519;GO:0004521;GO:0005737;GO:0006974;GO:0009432;GO:0016070;GO:0016787;GO:0016788;GO:0036386;GO:0042802;GO:0043590	GO:0006974;GO:0009432;GO:0016070;GO:0036386	GO:0003677;GO:0003723;GO:0004518;GO:0004519;GO:0004521;GO:0016787;GO:0016788;GO:0042802	GO:0005737;GO:0043590
5061533	5061533				
948867	948867	GO:0003677;GO:0009307;GO:0019812	GO:0009307	GO:0003677	GO:0019812
948872	948872	GO:0003676;GO:0003677;GO:0005515;GO:0005829;GO:0008168;GO:0008170;GO:0009007;GO:0009307;GO:0016740;GO:0019812;GO:0032259	GO:0009307;GO:0032259	GO:0003676;GO:0003677;GO:0005515;GO:0008168;GO:0008170;GO:0009007;GO:0016740	GO:0005829;GO:0019812
948878	948878	GO:0000166;GO:0003677;GO:0003824;GO:0004386;GO:0004518;GO:0004519;GO:0005524;GO:0005829;GO:0006304;GO:0009035;GO:0009307;GO:0016787;GO:0019812	GO:0006304;GO:0009307	GO:0000166;GO:0003677;GO:0003824;GO:0004386;GO:0004518;GO:0004519;GO:0005524;GO:0009035;GO:0016787	GO:0005829;GO:0019812
948898	948898	GO:0003676;GO:0003677;GO:0004519;GO:0009307;GO:0015666;GO:0032067;GO:0043590;GO:0051599	GO:0009307;GO:0051599	GO:0003676;GO:0003677;GO:0004519;GO:0015666;GO:0032067	GO:0043590
948882	948882	GO:0000166;GO:0003924;GO:0005525;GO:0005737;GO:0005829;GO:0006974;GO:0008270;GO:0016787;GO:0042802;GO:0046872;GO:0046914;GO:0051604;GO:0140827	GO:0006974;GO:0051604	GO:0000166;GO:0003924;GO:0005525;GO:0008270;GO:0016787;GO:0042802;GO:0046872;GO:0046914;GO:0140827	GO:0005737;GO:0005829
949090	949090	GO:0006974	GO:0006974		
948914	948914	GO:0005477;GO:0005515;GO:0005886;GO:0006849;GO:0006974;GO:0009267;GO:0015293;GO:0016020;GO:0031669	GO:0006849;GO:0006974;GO:0009267;GO:0031669	GO:0005477;GO:0005515;GO:0015293	GO:0005886;GO:0016020
948884	948884	GO:0004888;GO:0005515;GO:0005886;GO:0006935;GO:0007165;GO:0009593;GO:0016020;GO:0042802;GO:0048870;GO:0071230;GO:0098561;GO:1902021	GO:0006935;GO:0007165;GO:0009593;GO:0048870;GO:0071230;GO:1902021	GO:0004888;GO:0005515;GO:0042802	GO:0005886;GO:0016020;GO:0098561
948879	948879	GO:0005886;GO:0016020;GO:0022857;GO:0042873;GO:0055085	GO:0042873;GO:0055085	GO:0022857	GO:0005886;GO:0016020
948881	948881	GO:0000987;GO:0003677;GO:0003700;GO:0006355;GO:0019584	GO:0006355;GO:0019584	GO:0000987;GO:0003677;GO:0003700	
948883	948883	GO:0005829;GO:0006566;GO:0008270;GO:0008743;GO:0016491;GO:0016616;GO:0034195;GO:0046872	GO:0006566;GO:0034195	GO:0008270;GO:0008743;GO:0016491;GO:0016616;GO:0046872	GO:0005829
948888	948888	GO:0005886;GO:0008960;GO:0009250;GO:0016020;GO:0016740	GO:0009250	GO:0008960;GO:0016740	GO:0005886;GO:0016020
948887	948887	GO:0005829			GO:0005829
948864	948864	GO:0000166;GO:0003677;GO:0005515;GO:0005524;GO:0006260;GO:0006269;GO:0006270;GO:0006271;GO:0016787;GO:0031297;GO:1990077;GO:1990100;GO:1990158;GO:1990159;GO:1990160	GO:0006260;GO:0006269;GO:0006270;GO:0006271;GO:0031297	GO:0000166;GO:0003677;GO:0005515;GO:0005524;GO:0016787	GO:1990077;GO:1990100;GO:1990158;GO:1990159;GO:1990160
948813	948813	GO:0000287;GO:0003677;GO:0003697;GO:0005515;GO:0006260;GO:0006261;GO:0006269;GO:0031297;GO:0042802;GO:0070207;GO:1990077;GO:1990158;GO:1990159	GO:0006260;GO:0006261;GO:0006269;GO:0031297;GO:0070207	GO:0000287;GO:0003677;GO:0003697;GO:0005515;GO:0042802	GO:1990077;GO:1990158;GO:1990159
948811	948811	GO:0005886;GO:0006970;GO:0015744;GO:1901652	GO:0006970;GO:0015744;GO:1901652		GO:0005886
948812	948812	GO:0005886;GO:0015744;GO:0022857;GO:0055085	GO:0015744;GO:0055085	GO:0022857	GO:0005886
948896	948896	GO:0000976;GO:0003677;GO:0003700;GO:0006355;GO:0051595	GO:0006355;GO:0051595	GO:0000976;GO:0003677;GO:0003700	
948889	948889	GO:0000976;GO:0003677;GO:0003700;GO:0005515;GO:0005667;GO:0006355;GO:0009314;GO:0043470;GO:0045893	GO:0006355;GO:0009314;GO:0043470;GO:0045893	GO:0000976;GO:0003677;GO:0003700;GO:0005515	GO:0005667
948891	948891	GO:0000293;GO:0003824;GO:0005737;GO:0005829;GO:0005886;GO:0016491;GO:0016722;GO:0033214;GO:0033215;GO:0046872;GO:0051536;GO:0051537	GO:0033214;GO:0033215	GO:0000293;GO:0003824;GO:0016491;GO:0016722;GO:0046872;GO:0051536;GO:0051537	GO:0005737;GO:0005829;GO:0005886
1450313	1450313				
948873	948873				
948875	948875				
948893	948893				
948892	948892	GO:0003676;GO:0005515;GO:0005737;GO:0005829;GO:0006364;GO:0008168;GO:0008170;GO:0008649;GO:0008757;GO:0008990;GO:0016740;GO:0031167;GO:0032259;GO:0034337;GO:0052914;GO:0070475;GO:0140691	GO:0006364;GO:0031167;GO:0032259;GO:0034337;GO:0070475	GO:0003676;GO:0005515;GO:0008168;GO:0008170;GO:0008649;GO:0008757;GO:0008990;GO:0016740;GO:0052914;GO:0140691	GO:0005737;GO:0005829
948890	948890	GO:0003887;GO:0005515;GO:0006260;GO:0006261;GO:0008408;GO:0009314;GO:0009360;GO:0016740;GO:0016779;GO:0030894;GO:0034061;GO:0043846;GO:0071897	GO:0006260;GO:0006261;GO:0009314;GO:0071897	GO:0003887;GO:0005515;GO:0008408;GO:0016740;GO:0016779;GO:0034061	GO:0009360;GO:0030894;GO:0043846
