aspect,go_id,count
BP,GO:0006272,3
BP,GO:0006554,3
BP,GO:0097171,3
BP,GO:0042276,3
BP,GO:0055129,3
BP,GO:0006591,3
BP,GO:0019240,3
BP,GO:0110095,3
BP,GO:1903457,3
BP,GO:0009440,3
BP,GO:0019622,3
BP,GO:0046294,3
BP,GO:0015734,3
BP,GO:0009970,3
BP,GO:1901652,3
BP,GO:0042177,3
BP,GO:0015829,3
BP,GO:0015818,3
BP,GO:0030980,3
BP,GO:0009395,3
BP,GO:0006772,3
BP,GO:0052837,3
BP,GO:0036525,3
BP,GO:0043200,3
BP,GO:0009093,3
BP,GO:0006637,3
BP,GO:0015908,3
BP,GO:0044209,3
BP,GO:0009166,3
BP,GO:0071292,3
BP,GO:0071280,3
BP,GO:0006145,3
BP,GO:0046487,3
BP,GO:0016054,3
BP,GO:0006805,3
BP,GO:0042742,3
BP,GO:0071286,3
BP,GO:0031669,3
BP,GO:0006101,3
BP,GO:0006107,3
BP,GO:0009249,3
BP,GO:0042256,3
BP,GO:0090071,3
BP,GO:0046686,3
BP,GO:0070778,3
BP,GO:0046050,3
BP,GO:0006043,3
BP,GO:0008156,3
BP,GO:0015755,3
BP,GO:0070614,3
BP,GO:0009051,3
BP,GO:0006294,3
BP,GO:0070588,3
BP,GO:0030162,3
BP,GO:0090452,3
BP,GO:0015904,3
BP,GO:1903803,3
BP,GO:0006868,3
BP,GO:0018104,3
BP,GO:0042182,3
BP,GO:1902209,3
BP,GO:1900232,3
BP,GO:0006090,3
BP,GO:0035821,3
BP,GO:0042953,3
BP,GO:0016260,3
BP,GO:0034204,3
BP,GO:0046306,3
BP,GO:0009407,3
BP,GO:2000245,3
BP,GO:0009290,3
BP,GO:1902421,3
BP,GO:0006210,3
BP,GO:0098777,3
BP,GO:0009247,3
BP,GO:0000967,3
BP,GO:0030497,3
BP,GO:0008153,3
BP,GO:0046394,3
BP,GO:0006227,3
BP,GO:0006233,3
BP,GO:0015848,3
BP,GO:0010350,3
BP,GO:0032506,3
BP,GO:0000902,3
BP,GO:0006952,3
BP,GO:0019985,3
BP,GO:0071276,3
BP,GO:0006015,3
BP,GO:0006479,3
BP,GO:0015707,3
BP,GO:0051260,3
BP,GO:0008653,3
BP,GO:0006598,3
BP,GO:0009294,3
BP,GO:1903830,3
BP,GO:0009443,3
BP,GO:1901605,3
BP,GO:0045471,3
BP,GO:1902210,3
BP,GO:0070482,3
BP,GO:0006538,3
BP,GO:0006536,3
BP,GO:0006091,3
BP,GO:0009298,3
BP,GO:0006285,3
BP,GO:0097510,3
BP,GO:0035443,3
BP,GO:0042816,3
BP,GO:0006801,3
BP,GO:0045227,3
BP,GO:0000303,3
BP,GO:0015860,3
BP,GO:0034614,3
BP,GO:0046459,3
BP,GO:0032790,3
BP,GO:1902815,3
BP,GO:0006537,3
BP,GO:0006995,3
BP,GO:0015761,3
BP,GO:0030026,3
BP,GO:0071230,3
BP,GO:0050918,3
BP,GO:0006882,3
BP,GO:1901264,3
BP,GO:0009225,3
BP,GO:0046377,3
BP,GO:0006226,3
BP,GO:0044206,3
BP,GO:0036172,3
BP,GO:0035444,3
BP,GO:0010045,3
BP,GO:0002943,3
BP,GO:0090549,3
BP,GO:0015760,3
BP,GO:0006085,3
BP,GO:0070297,3
BP,GO:0010038,3
BP,GO:0051156,3
BP,GO:0070574,3
BP,GO:0019450,3
BP,GO:0006753,3
BP,GO:0019693,3
BP,GO:0030174,3
BP,GO:0006793,3
BP,GO:0051781,3
BP,GO:0072348,3
BP,GO:0006546,3
BP,GO:0051409,3
BP,GO:0045900,3
BP,GO:0006571,3
BP,GO:1903804,3
BP,GO:0006750,3
BP,GO:0048255,3
BP,GO:0043571,3
BP,GO:0016075,3
BP,GO:0015970,3
BP,GO:0098656,3
BP,GO:0019571,3
BP,GO:0006650,3
BP,GO:0009114,3
BP,GO:0006430,3
BP,GO:0030388,3
BP,GO:0097339,3
BP,GO:0019588,3
BP,GO:0001558,3
BP,GO:0032298,3
BP,GO:0006616,3
BP,GO:1902626,3
BP,GO:0019676,3
BP,GO:0042150,3
BP,GO:0034337,3
BP,GO:0006002,3
BP,GO:0001407,3
BP,GO:0042941,3
BP,GO:1902075,3
BP,GO:0019852,3
BP,GO:0006569,3
BP,GO:0019316,3
BP,GO:0015754,3
BP,GO:0015882,3
BP,GO:0007638,3
BP,GO:0031589,3
BP,GO:0050992,2
BP,GO:1902603,2
BP,GO:1901381,2
BP,GO:0070987,2
BP,GO:0000154,2
BP,GO:0015888,2
BP,GO:0044038,2
BP,GO:0015951,2
BP,GO:0015827,2
BP,GO:0006103,2
BP,GO:0097264,2
BP,GO:0006188,2
BP,GO:0019284,2
BP,GO:0044210,2
BP,GO:0016094,2
BP,GO:0043137,2
BP,GO:0042759,2
BP,GO:0010810,2
BP,GO:0015697,2
BP,GO:0034224,2
BP,GO:0019546,2
BP,GO:0019679,2
BP,GO:0019858,2
BP,GO:0005990,2
BP,GO:0046292,2
BP,GO:0000023,2
BP,GO:0002099,2
BP,GO:0032026,2
BP,GO:0034227,2
BP,GO:0009589,2
BP,GO:0044272,2
BP,GO:0002937,2
BP,GO:0010498,2
BP,GO:0043068,2
BP,GO:0017001,2
BP,GO:0046618,2
BP,GO:0015895,2
BP,GO:0035864,2
BP,GO:0009132,2
BP,GO:0009416,2
BP,GO:0045926,2
BP,GO:0008202,2
BP,GO:0070329,2
BP,GO:0031388,2
BP,GO:0001907,2
BP,GO:0032940,2
BP,GO:0046813,2
BP,GO:0015679,2
BP,GO:0042914,2
BP,GO:0006849,2
BP,GO:0071453,2
BP,GO:0051191,2
BP,GO:0009107,2
BP,GO:0010629,2
BP,GO:0046133,2
BP,GO:0015813,2
BP,GO:0042158,2
BP,GO:0070981,2
BP,GO:0015822,2
BP,GO:0033387,2
BP,GO:0071237,2
BP,GO:0061621,2
BP,GO:0000715,2
BP,GO:0042968,2
BP,GO:0006000,2
BP,GO:0140115,2
BP,GO:0030641,2
BP,GO:0019345,2
BP,GO:1901562,2
BP,GO:1901422,2
BP,GO:1903826,2
BP,GO:0006545,2
BP,GO:1903401,2
BP,GO:0006833,2
BP,GO:0042893,2
BP,GO:1903605,2
BP,GO:0000920,2
BP,GO:0033359,2
BP,GO:0006220,2
BP,GO:2000766,2
BP,GO:0030420,2
BP,GO:0036297,2
BP,GO:0033585,2
BP,GO:0070476,2
BP,GO:0006301,2
BP,GO:0120009,2
BP,GO:0006636,2
BP,GO:0032272,2
BP,GO:0032466,2
BP,GO:0071454,2
BP,GO:0038083,2
BP,GO:0098721,2
BP,GO:0090609,2
BP,GO:0071806,2
BP,GO:0042278,2
BP,GO:0016051,2
BP,GO:0032781,2
BP,GO:0055088,2
BP,GO:0006644,2
BP,GO:0042304,2
BP,GO:1903966,2
BP,GO:0042928,2
BP,GO:0055130,2
BP,GO:0034983,2
BP,GO:0036049,2
BP,GO:0006518,2
BP,GO:0007234,2
BP,GO:0009152,2
BP,GO:0044208,2
BP,GO:0006448,2
BP,GO:1900191,2
BP,GO:0019478,2
BP,GO:0019480,2
BP,GO:0006522,2
BP,GO:0018364,2
BP,GO:0006751,2
BP,GO:0071250,2
BP,GO:0071249,2
BP,GO:0015706,2
BP,GO:0051131,2
BP,GO:0046104,2
BP,GO:0010608,2
BP,GO:0006542,2
BP,GO:0009448,2
BP,GO:0046657,2
BP,GO:1900233,2
BP,GO:0019607,2
BP,GO:0009273,2
BP,GO:0046690,2
BP,GO:0001896,2
BP,GO:0032973,2
BP,GO:0036289,2
BP,GO:0019592,2
BP,GO:0071585,2
BP,GO:0120029,2
BP,GO:0006740,2
BP,GO:0042559,2
BP,GO:0006106,2
BP,GO:0046323,2
BP,GO:0017000,2
BP,GO:0036001,2
BP,GO:0097175,2
BP,GO:0006040,2
BP,GO:0031125,2
BP,GO:0030258,2
BP,GO:0006534,2
BP,GO:0019632,2
BP,GO:0071271,2
BP,GO:0035461,2
BP,GO:0006432,2
BP,GO:0000101,2
BP,GO:0052777,2
BP,GO:0006032,2
BP,GO:0072524,2
BP,GO:0045903,2
BP,GO:0001676,2
BP,GO:0007231,2
BP,GO:0071475,2
BP,GO:0009255,2
BP,GO:0071932,2
BP,GO:0006420,2
BP,GO:0009454,2
BP,GO:0009593,2
BP,GO:1902208,2
BP,GO:0005992,2
BP,GO:0015830,2
BP,GO:0046416,2
BP,GO:1901913,2
BP,GO:0019249,2
BP,GO:0106044,2
BP,GO:2000104,2
BP,GO:0009226,2
BP,GO:0042351,2
BP,GO:0090313,2
BP,GO:0019404,2
BP,GO:0032025,2
BP,GO:0071461,2
BP,GO:0010467,2
BP,GO:0046135,2
BP,GO:0017003,2
BP,GO:0017013,2
BP,GO:0015793,2
BP,GO:0046493,2
BP,GO:0036108,2
BP,GO:0019272,2
BP,GO:0006082,2
BP,GO:0019413,2
BP,GO:0019427,2
BP,GO:0045733,2
BP,GO:0006760,2
BP,GO:0089709,2
BP,GO:0071294,2
BP,GO:0009113,2
BP,GO:0042942,2
BP,GO:0033611,2
BP,GO:0055086,2
BP,GO:0097173,2
BP,GO:0046348,2
BP,GO:0006576,2
BP,GO:0046037,2
BP,GO:0006183,2
BP,GO:0006241,2
BP,GO:0044571,2
BP,GO:0016261,2
BP,GO:0046854,2
BP,GO:0046653,2
BP,GO:0046417,2
BP,GO:0006614,2
BP,GO:0015837,2
BP,GO:0048545,2
BP,GO:0071288,2
BP,GO:0016310,2
BP,GO:0046081,2
BP,GO:0015969,2
BP,GO:0019394,2
BP,GO:0019580,2
